model,threshold,accuracy,precision,recall,f1,fp,fn
ArcFace,0.7,0.6270471464019851,0.5045015005001667,0.9888888888888889,0.6681386619562817,2972.0,34.0
ArcFace,0.72,0.6385856079404466,0.512523428181973,0.9830065359477124,0.6737596595363422,2861.0,52.0
ArcFace,0.74,0.6502481389578164,0.5210259989530623,0.9758169934640523,0.6793311341144351,2745.0,74.0
ArcFace,0.76,0.6620347394540943,0.5300967395198853,0.9669934640522876,0.6847951862994677,2623.0,101.0
ArcFace,0.78,0.6718362282878412,0.5383336412340661,0.9522875816993464,0.6878319367402336,2499.0,146.0
ArcFace,0.8,0.6859801488833747,0.5510125361620057,0.9336601307189543,0.6930260764099454,2328.0,203.0
ArcFace,0.82,0.7004962779156327,0.565757328990228,0.9081699346405229,0.6971901655795284,2133.0,281.0
ArcFace,0.84,0.7161290322580646,0.5839860748476936,0.8771241830065359,0.7011494252873562,1912.0,376.0
ArcFace,0.86,0.7308933002481389,0.6045529218493312,0.8418300653594771,0.7037289987706598,1685.0,484.0
ArcFace,0.88,0.7418114143920596,0.6248406018872736,0.8006535947712419,0.7019051711789142,1471.0,610.0
ArcFace,0.9,0.753970223325062,0.6546969261706406,0.7447712418300654,0.6968353462773277,1202.0,781.0
Facenet,0.66,0.8879652605459057,0.772692793931732,0.9986928104575163,0.8712758374910905,899.0,4.0
Facenet,0.68,0.9052109181141439,0.8009963293130572,0.9983660130718954,0.8888565609543205,759.0,5.0
Facenet,0.7,0.9222084367245658,0.8313810950694633,0.9973856209150327,0.9068489080374387,619.0,8.0
Facenet,0.72,0.9341191066997518,0.8562975486052409,0.9931372549019608,0.9196550158874263,510.0,21.0
Facenet,0.74,0.9456575682382135,0.881993006993007,0.9892156862745098,0.932532347504621,405.0,33.0
Facenet,0.76,0.9552109181141439,0.9053769900871133,0.984967320261438,0.9434966348411333,315.0,46.0
Facenet,0.78,0.9641439205955334,0.9320236981602744,0.976797385620915,0.9538854316259774,218.0,71.0
Facenet,0.8,0.9668734491315136,0.9494689411007403,0.9640522875816994,0.9567050429706502,157.0,110.0
Facenet,0.82,0.9667493796526054,0.9653333333333334,0.9464052287581699,0.9557755775577558,104.0,164.0
Facenet,0.84,0.9615384615384616,0.9784272790535838,0.918954248366013,0.9477586788001348,62.0,248.0
Facenet,0.86,0.9465260545905707,0.9859519408502773,0.8715686274509804,0.9252385082393756,38.0,393.0
ArcFace + Facenet,"ArcFace=0.78, Facenet=0.74",0.9405707196029777,0.9056900345803206,0.9415032679738562,0.9232494792501201,300.0,179.0
ArcFace + Facenet,"ArcFace=0.80, Facenet=0.76",0.9410669975186104,0.9253043764396183,0.918954248366013,0.9221183800623054,227.0,248.0
ArcFace + Facenet,"ArcFace=0.82, Facenet=0.78",0.937468982630273,0.9459176552686671,0.8859477124183006,0.9149510631117111,155.0,349.0
ArcFace + Facenet,"ArcFace=0.84, Facenet=0.80",0.9279156327543424,0.9606094388703085,0.8447712418300654,0.8989740914623543,106.0,475.0
ArcFace + Facenet,"ArcFace=0.86, Facenet=0.82",0.9153846153846154,0.9748402555910544,0.7977124183006536,0.8774263120057514,63.0,619.0
