epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64593,0.8975,2.57504,1.12885,0.01333,1,0.30327,0.20736,0.66268,2.59201,0.98011,2e-05,2e-05,2e-05
2,15.8288,0.8303,2.5501,1.13016,0.01333,1,0.59034,0.40194,0.59563,2.58455,0.97218,5.8812e-05,5.8812e-05,5.8812e-05
3,22.7289,0.72431,2.33107,1.07673,0.01333,1,0.78971,0.58098,0.64509,2.57143,1.0036,9.604e-05,9.604e-05,9.604e-05
4,29.6662,0.73995,2.13234,1.06449,0.01333,1,0.83503,0.64446,0.65378,2.53635,0.99871,0.000131684,0.000131684,0.000131684
5,36.4064,0.73305,1.78104,1.06895,0.01333,1,0.86043,0.67787,0.67746,2.46139,1.02783,0.000165744,0.000165744,0.000165744
6,43.8154,0.67382,1.47857,1.03407,0.02656,0.97774,0.86838,0.61632,0.76943,2.32975,1.10047,0.00019822,0.00019822,0.00019822
7,50.5097,0.66028,1.18028,1.03974,0.93531,0.60306,0.82095,0.60166,0.8359,2.12636,1.18089,0.000229112,0.000229112,0.000229112
8,57.2688,0.67863,1.06212,1.01462,0.89035,0.67708,0.81287,0.62449,0.81599,1.93452,1.20433,0.00025842,0.00025842,0.00025842
9,64.2773,0.6335,0.98523,0.98251,0.94533,0.72101,0.83026,0.61081,0.89109,1.87328,1.2175,0.000286144,0.000286144,0.000286144
10,71.7245,0.62862,0.93759,0.99406,0.90161,0.76411,0.89778,0.63917,0.92403,1.78343,1.2254,0.000312284,0.000312284,0.000312284
11,78.413,0.63508,0.93793,1.02344,0.94234,0.68148,0.88142,0.61656,0.97528,1.74707,1.24206,0.00033684,0.00033684,0.00033684
12,84.9243,0.59581,0.89154,0.99886,0.89857,0.70833,0.83149,0.573,1.00652,1.74371,1.24905,0.000359812,0.000359812,0.000359812
13,91.4456,0.69502,0.94133,1.07158,0.92211,0.66667,0.7988,0.57431,0.97215,1.84066,1.23057,0.0003812,0.0003812,0.0003812
14,98.0976,0.55451,0.86702,0.96755,0.90131,0.625,0.73529,0.5226,0.97297,1.93899,1.23848,0.000401004,0.000401004,0.000401004
15,104.678,0.60459,0.88661,1.02685,0.87738,0.59683,0.71949,0.50536,1.05282,1.93186,1.29314,0.000419224,0.000419224,0.000419224
16,111.813,0.51595,0.85746,0.96609,0.84418,0.70833,0.72866,0.46458,1.13189,1.79202,1.34534,0.00043586,0.00043586,0.00043586
17,118.76,0.6284,0.88208,1.00459,0.89111,0.68248,0.75605,0.41831,1.31819,1.70192,1.49338,0.000450912,0.000450912,0.000450912
18,125.161,0.58725,0.87854,1.01962,0.99952,0.625,0.72636,0.48225,1.23573,1.67607,1.52616,0.00046438,0.00046438,0.00046438
19,131.848,0.6115,0.83448,0.99284,0.99481,0.625,0.73026,0.52307,1.04961,1.59118,1.33637,0.000476264,0.000476264,0.000476264
20,138.473,0.60045,0.84091,0.99339,0.994,0.625,0.7354,0.55729,1.00766,1.49907,1.28152,0.000486564,0.000486564,0.000486564
21,145.039,0.57588,0.77389,0.97624,0.99526,0.625,0.75375,0.56953,1.06899,1.52589,1.30235,0.00049528,0.00049528,0.00049528
22,151.805,0.57912,0.78906,0.97492,0.99538,0.625,0.76898,0.51256,1.19467,1.58799,1.43669,0.000502412,0.000502412,0.000502412
23,158.172,0.57213,0.74485,0.98135,0.99246,0.625,0.7702,0.50091,1.23818,1.68989,1.45164,0.00050796,0.00050796,0.00050796
24,164.574,0.62192,0.82865,1.02657,0.91236,0.58333,0.67604,0.46153,1.1887,1.91479,1.46406,0.000511924,0.000511924,0.000511924
25,170.831,0.54044,0.72824,0.96013,1,0.49663,0.62339,0.45462,1.16617,2.07461,1.43138,0.000514304,0.000514304,0.000514304
26,177.208,0.57923,0.78349,1.0059,0.88879,0.5,0.58401,0.42638,1.23737,2.16251,1.4507,0.0005151,0.0005151,0.0005151
27,183.542,0.5649,0.80453,0.96552,0.92173,0.49126,0.60019,0.43898,1.26777,2.15095,1.47343,0.000514312,0.000514312,0.000514312
28,190.333,0.59425,0.76207,0.98635,0.92173,0.49126,0.60019,0.43898,1.26777,2.15095,1.47343,0.00051194,0.00051194,0.00051194
29,196.936,0.60485,0.76022,0.98376,0.92589,0.52136,0.6135,0.44625,1.3048,2.07459,1.49328,0.000507984,0.000507984,0.000507984
30,203.387,0.54399,0.7485,0.94333,0.86938,0.54167,0.62195,0.4229,1.3931,1.91477,1.6038,0.000502444,0.000502444,0.000502444
31,209.893,0.59504,0.77483,0.98291,0.86938,0.54167,0.62195,0.4229,1.3931,1.91477,1.6038,0.00049532,0.00049532,0.00049532
32,216.416,0.62305,0.80558,1.07441,0.8357,0.66667,0.72637,0.46026,1.36721,1.74976,1.60018,0.000486612,0.000486612,0.000486612
33,223.087,0.45112,0.6696,0.90314,0.8872,0.65589,0.82421,0.50009,1.36352,1.60329,1.55091,0.00047632,0.00047632,0.00047632
34,230.064,0.54062,0.69078,0.96742,0.8872,0.65589,0.82421,0.50009,1.36352,1.60329,1.55091,0.000464444,0.000464444,0.000464444
35,238.128,0.56248,0.73564,0.93969,0.94162,0.67227,0.86755,0.5425,1.23156,1.48381,1.48178,0.000450984,0.000450984,0.000450984
